domain,trust_score,blacklisted,ip_bad_count_bad,ssl_valid,ip_country,anonymous_whois,dnsblock_threat_count,whois_registration_duration,whois_valid_email,avg_review_score,facebook_comments_negative_count,facebook_comments_positive_count,scamadviser_votes_legit,scamadviser_votes_scam,scamadviser_votes_fake,is_legit
geetle.com,51.0,0,0.09,1,NL,0,0,4.18,0,4.2,0.0,0.0,0,0,0,0
,44.5796847636,0,0.0,0,US,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0
digicoins.cc,1.0,0,0.0,0,US,0,3,0.85,0,0.0,0.0,0.0,0,0,0,0
curve.fi,100.0,0,0.07,1,US,0,0,3.19,0,2.24,0.0,0.0,1,0,0,1
apex.exchange,62.0,0,0.06,1,NL,1,0,3.61,0,1.87,0.0,0.0,0,0,0,1
hugedomains.com,100.0,0,0.04,1,US,0,0,20.74,1,1.29,0.5,0.11,10,171,48,0
cryptoexu.com,1.0,0,0.91,1,US,0,0,1.58,1,1.0,0.0,0.0,0,0,0,0
axieminners.com,1.0,0,0.47,1,US,1,0,0.92,1,0.0,0.0,0.0,0,0,0,0
coincorner.com,100.0,0,0.0,1,US,1,0,20.45,1,4.19,0.33,0.33,1,4,0,1
bitonic.nl,100.0,0,0.0,1,DE,0,0,12.38,0,3.95,0.0,0.0,0,1,1,1
bitecx.com,71.0,0,0.03,1,US,0,0,6.45,0,1.4,0.0,0.0,0,0,0,0
ww36.daogenlin.com,91.0,0,0.1,0,US,1,0,1.59,0,0.0,0.0,0.0,0,0,0,0
pionex.com,1.0,0,0.14,1,EU,1,0,5.45,0,2.74,0.0,0.0,3,12,3,1
hugedomains.com,100.0,0,0.04,1,US,0,0,20.74,1,1.29,0.5,0.11,10,171,48,0
coinchaos.com,1.0,0,0.34,1,PT,0,0,1.67,0,1.86,0.0,0.0,0,0,0,0
app.turbos.finance,82.0,0,0.15,1,NL,1,0,1.7,1,0.0,0.0,0.0,0,0,0,1
securedailywealth.com,46.0,0,0.38,1,NL,0,0,2.15,0,1.0,0.0,0.0,0,1,1,0
tokenswap.net,1.0,0,0.08,1,US,1,0,0.91,0,1.1,0.0,0.0,0,23,7,0
traderup.com,1.0,0,0.33,1,US,1,0,10.07,1,3.0,0.0,0.0,0,0,0,0
usacrypto.com,57.0,0,0.0,0,US,1,0,2.52,0,0.0,0.0,0.0,0,0,0,0
cryptocurrencybtx.com,1.0,0,0.04,1,DE,1,0,2.32,1,1.1,0.0,0.0,0,3,1,0
bitopro.com,77.0,0,0.0,1,US,1,0,6.86,0,2.22,0.0,0.0,0,1,0,1
winx.io,1.0,0,0.27,1,US,1,0,7.45,0,1.44,0.0,0.0,0,8,2,1
cryptosone.com,10.0,0,0.06,0,US,1,1,6.87,0,0.0,0.0,0.0,0,0,0,0
bitopro.com,77.0,0,0.0,1,US,1,0,6.86,0,2.22,0.0,0.0,0,1,0,1
app.ekubo.org,42.0,0,0.02,1,US,1,0,1.13,0,0.0,0.0,0.0,0,0,0,1
futurbtc.com,1.0,0,1.0,1,NL,0,0,1.4,0,1.81,0.0,0.0,0,0,0,0
pancakeswap.finance,100.0,0,0.0,1,US,1,0,3.86,1,1.58,0.0,0.0,5,9,1,1
ww3.union-crypto.com,1.0,0,0.3,0,US,1,0,0.1,1,0.0,0.0,0.0,0,0,0,0
traderjoexyz.com,47.0,0,0.33,1,US,1,0,3.04,0,2.57,0.0,0.0,0,4,1,1
www.kibbleswap.dog,80.0,0,0.17,1,USA,1,0,1.93,1,0.0,0.0,0.0,0,0,0,1
hugedomains.com,100.0,0,0.04,1,US,0,0,20.74,1,1.29,0.5,0.11,10,171,48,0
cryptal.com,72.0,0,0.19,1,NL,1,0,19.92,0,1.0,0.0,0.0,0,2,0,1
tradezlescrypto.com,13.0,0,0.27,0,JP,1,0,5.28,0,0.0,0.0,0.0,0,0,0,0
coinone.co.kr,22.0,0,0.5,1,US,1,0,0.0,0,1.68,0.0,0.0,0,4,0,1
cybercapital.ltd,1.0,0,0.3,1,US,1,0,1.34,1,1.0,0.0,0.0,0,0,0,0
ggmcryptotrademarket.com,1.0,0,0.57,1,US,1,0,2.23,1,0.0,0.0,0.0,0,0,0,0
app.pulsex.com,36.0,0,0.16,1,US,0,0,8.54,0,0.0,0.0,0.0,0,0,0,1
